threeday_yrmo,threeday_yr,year,dayofyear,varupwelZ1_mmsec_4-12mAvg
677,57,2015,170,3e-05
678,57,2015,170,3e-05
679,57,2015,170,3e-05
680,57,2015,170,3e-05
681,57,2015,170,3e-05
682,57,2015,170,3e-05
683,57,2015,170,3e-05
684,57,2015,170,3e-05
685,58,2015,173,7e-05
686,58,2015,173,7e-05
687,58,2015,173,7e-05
688,58,2015,173,7e-05
689,58,2015,173,7e-05
690,58,2015,173,7e-05
691,58,2015,173,7e-05
692,58,2015,173,7e-05
693,58,2015,173,7e-05
694,58,2015,173,7e-05
695,58,2015,173,7e-05
696,58,2015,173,7e-05
697,59,2015,176,9e-05
698,59,2015,176,9e-05
699,59,2015,176,9e-05
700,59,2015,176,9e-05
701,59,2015,176,9e-05
702,59,2015,176,9e-05
703,59,2015,176,9e-05
704,59,2015,176,9e-05
705,59,2015,176,9e-05
706,59,2015,176,9e-05
707,59,2015,176,9e-05
708,59,2015,176,9e-05
709,60,2015,179,1e-04
710,60,2015,179,1e-04
711,60,2015,179,1e-04
712,60,2015,179,1e-04
713,60,2015,179,1e-04
714,60,2015,179,1e-04
715,60,2015,179,1e-04
716,60,2015,179,1e-04
717,60,2015,179,1e-04
718,60,2015,179,1e-04
719,60,2015,179,1e-04
720,60,2015,179,1e-04
721,61,2015,182,6e-05
722,61,2015,182,6e-05
723,61,2015,182,6e-05
724,61,2015,182,6e-05
725,61,2015,182,6e-05
726,61,2015,182,6e-05
727,61,2015,182,6e-05
728,61,2015,182,6e-05
729,61,2015,182,6e-05
730,61,2015,182,6e-05
731,61,2015,182,6e-05
732,61,2015,182,6e-05
733,62,2015,185,4e-05
734,62,2015,185,4e-05
735,62,2015,185,4e-05
736,62,2015,185,4e-05
737,62,2015,185,4e-05
738,62,2015,185,4e-05
739,62,2015,185,4e-05
740,62,2015,185,4e-05
741,62,2015,185,4e-05
742,62,2015,185,4e-05
743,62,2015,185,4e-05
744,62,2015,185,4e-05
745,63,2015,188,5e-05
746,63,2015,188,5e-05
