threeday_yrmo,threeday_yr,year,dayofyear,varadvecX2_cmsec_0-40mAvg
658,55,2015,164,-0.008
659,55,2015,164,-0.008
660,55,2015,164,-0.008
661,56,2015,167,-0.012
662,56,2015,167,-0.012
663,56,2015,167,-0.012
664,56,2015,167,-0.012
665,56,2015,167,-0.012
666,56,2015,167,-0.012
667,56,2015,167,-0.012
668,56,2015,167,-0.012
669,56,2015,167,-0.012
670,56,2015,167,-0.012
671,56,2015,167,-0.012
672,56,2015,167,-0.012
673,57,2015,170,-0.011
674,57,2015,170,-0.011
675,57,2015,170,-0.011
676,57,2015,170,-0.011
677,57,2015,170,-0.011
678,57,2015,170,-0.011
679,57,2015,170,-0.011
680,57,2015,170,-0.011
681,57,2015,170,-0.011
682,57,2015,170,-0.011
683,57,2015,170,-0.011
684,57,2015,170,-0.011
685,58,2015,173,-0.009
686,58,2015,173,-0.009
687,58,2015,173,-0.009
688,58,2015,173,-0.009
689,58,2015,173,-0.009
690,58,2015,173,-0.009
691,58,2015,173,-0.009
692,58,2015,173,-0.009
693,58,2015,173,-0.009
694,58,2015,173,-0.009
695,58,2015,173,-0.009
696,58,2015,173,-0.009
697,59,2015,176,-0.01
698,59,2015,176,-0.01
699,59,2015,176,-0.01
700,59,2015,176,-0.01
701,59,2015,176,-0.01
702,59,2015,176,-0.01
703,59,2015,176,-0.01
704,59,2015,176,-0.01
705,59,2015,176,-0.01
706,59,2015,176,-0.01
707,59,2015,176,-0.01
708,59,2015,176,-0.01
709,60,2015,179,-0.01
710,60,2015,179,-0.01
711,60,2015,179,-0.01
712,60,2015,179,-0.01
713,60,2015,179,-0.01
714,60,2015,179,-0.01
715,60,2015,179,-0.01
716,60,2015,179,-0.01
717,60,2015,179,-0.01
718,60,2015,179,-0.01
719,60,2015,179,-0.01
720,60,2015,179,-0.01
721,61,2015,182,-0.009
722,61,2015,182,-0.009
723,61,2015,182,-0.009
724,61,2015,182,-0.009
725,61,2015,182,-0.009
726,61,2015,182,-0.009
727,61,2015,182,-0.009
728,61,2015,182,-0.009
729,61,2015,182,-0.009
730,61,2015,182,-0.009
731,61,2015,182,-0.009
732,61,2015,182,-0.009
733,62,2015,185,-0.01
734,62,2015,185,-0.01
735,62,2015,185,-0.01
736,62,2015,185,-0.01
737,62,2015,185,-0.01
738,62,2015,185,-0.01
739,62,2015,185,-0.01
740,62,2015,185,-0.01
741,62,2015,185,-0.01
