threeday_yrmo,threeday_yr,year,dayofyear,varvarsalt1_PSU_0-10mAvg
726,726,1984,17,26.4
727,727,1984,20,26.5
728,728,1984,23,26.7
729,729,1984,26,26.6
730,730,1984,29,26.6
731,731,1984,32,26.5
732,732,1984,35,26.5
733,733,1984,38,26.5
734,734,1984,41,26.8
735,735,1984,44,27.1
736,736,1984,47,27.1
737,737,1984,50,27.0
738,738,1984,53,26.9
739,739,1984,56,26.9
740,740,1984,59,26.8
741,741,1984,62,26.8
742,742,1984,65,26.7
743,743,1984,68,26.6
744,744,1984,71,26.6
745,745,1984,74,26.6
746,746,1984,77,26.7
747,747,1984,80,27.0
748,748,1984,83,26.9
749,749,1984,86,26.7
750,750,1984,89,26.5
751,751,1984,92,26.4
752,752,1984,95,26.6
753,753,1984,98,26.7
754,754,1984,101,27.1
755,755,1984,104,27.3
756,756,1984,107,27.0
757,757,1984,110,26.8
758,758,1984,113,26.6
759,759,1984,116,26.5
760,760,1984,119,26.5
761,761,1984,122,26.6
762,762,1984,125,26.5
763,763,1984,128,26.3
764,764,1984,131,26.2
765,765,1984,134,26.1
766,766,1984,137,25.7
767,767,1984,140,25.6
768,768,1984,143,25.5
769,769,1984,146,25.3
770,770,1984,149,24.7
771,771,1984,152,24.8
772,772,1984,155,25.3
773,773,1984,158,25.3
774,774,1984,161,24.9
775,775,1984,164,24.8
776,776,1984,167,24.6
777,777,1984,170,24.4
778,778,1984,173,24.1
779,779,1984,176,23.8
780,780,1984,179,23.8
781,781,1984,182,23.8
782,782,1984,185,23.6
783,783,1984,188,23.1
784,784,1984,191,23.0
785,785,1984,194,23.2
786,786,1984,197,23.2
787,787,1984,200,23.4
788,788,1984,203,24.0
789,789,1984,206,24.4
790,790,1984,209,24.7
791,791,1984,212,24.8
792,792,1984,215,24.7
793,793,1984,218,24.5
794,794,1984,221,24.3
795,795,1984,224,24.5
796,796,1984,227,24.8
797,797,1984,230,24.8
798,798,1984,233,24.8
799,799,1984,236,25.1
800,800,1984,239,25.3
801,801,1984,242,25.5
802,802,1984,245,25.7
803,803,1984,248,25.7
804,804,1984,251,25.8
805,805,1984,254,25.8
806,806,1984,257,25.8
807,807,1984,260,25.8
808,808,1984,263,25.9
809,809,1984,266,26.3
810,810,1984,269,26.4
811,811,1984,272,26.5
812,812,1984,275,26.5
813,813,1984,278,26.5
814,814,1984,281,26.7
815,815,1984,284,27.0
816,816,1984,287,26.9
817,817,1984,290,26.4
818,818,1984,293,26.1
819,819,1984,296,26.2
820,820,1984,299,26.3
821,821,1984,302,26.4
822,822,1984,305,26.7
823,823,1984,308,26.9
824,824,1984,311,26.7
825,825,1984,314,26.7
826,826,1984,317,26.5
827,827,1984,320,26.4
828,828,1984,323,26.5
829,829,1984,326,26.8
830,830,1984,329,27.0
831,831,1984,332,27.0
832,832,1984,335,26.8
833,833,1984,338,26.5
834,834,1984,341,26.4
835,835,1984,344,26.7
836,836,1984,347,26.9
837,837,1984,350,27.0
838,838,1984,353,26.7
839,839,1984,356,26.7
840,840,1984,361,26.8
841,841,1985,2,26.8
842,842,1985,5,26.9
843,843,1985,8,27.0
844,844,1985,11,27.1
845,845,1985,14,27.1
846,846,1985,17,27.1
847,847,1985,20,27.1
848,848,1985,23,27.2
849,849,1985,26,27.2
850,850,1985,29,27.1
851,851,1985,32,27.1
852,852,1985,35,27.2
853,853,1985,38,27.4
854,854,1985,41,27.5
855,855,1985,44,27.7
856,856,1985,47,27.6
857,857,1985,50,27.5
858,858,1985,53,27.4
859,859,1985,56,27.4
860,860,1985,59,27.3
861,861,1985,62,27.6
862,862,1985,65,27.9
863,863,1985,68,27.8
864,864,1985,71,27.8
865,865,1985,74,27.7
866,866,1985,77,27.7
867,867,1985,80,27.8
868,868,1985,83,28.0
869,869,1985,86,28.0
870,870,1985,89,27.8
871,871,1985,92,27.7
872,872,1985,95,27.5
873,873,1985,98,27.6
874,874,1985,101,27.7
875,875,1985,104,27.6
876,876,1985,107,27.5
877,877,1985,110,27.5
878,878,1985,113,27.3
879,879,1985,116,27.2
880,880,1985,119,27.1
881,881,1985,122,26.7
882,882,1985,125,26.8
883,883,1985,128,26.7
884,884,1985,131,26.5
885,885,1985,134,26.4
886,886,1985,137,26.3
887,887,1985,140,26.3
888,888,1985,143,26.1
889,889,1985,146,25.6
890,890,1985,149,24.9
891,891,1985,152,24.3
892,892,1985,155,24.0
893,893,1985,158,23.6
894,894,1985,161,23.1
895,895,1985,164,22.9
896,896,1985,167,23.2
897,897,1985,170,23.9
898,898,1985,173,24.9
899,899,1985,176,24.9
900,900,1985,179,24.6
901,901,1985,182,24.6
902,902,1985,185,24.7
903,903,1985,188,24.7
904,904,1985,191,24.4
905,905,1985,194,24.2
906,906,1985,197,24.9
907,907,1985,200,25.3
908,908,1985,203,25.4
