threeday_yrmo,threeday_yr,year,dayofyear,varPAR-VarZ-VarK
745,745,1984,74,15.1
746,746,1984,77,13.2
747,747,1984,80,13.8
748,748,1984,83,17.4
749,749,1984,86,18.0
750,750,1984,89,31.8
751,751,1984,92,36.6
752,752,1984,95,22.8
753,753,1984,98,26.4
754,754,1984,101,18.0
755,755,1984,104,20.5
756,756,1984,107,26.7
757,757,1984,110,31.3
758,758,1984,113,19.0
759,759,1984,116,46.2
760,760,1984,119,49.9
761,761,1984,122,15.0
762,762,1984,125,37.7
763,763,1984,128,38.2
764,764,1984,131,33.0
765,765,1984,134,31.1
766,766,1984,137,41.7
767,767,1984,140,17.2
768,768,1984,143,26.9
769,769,1984,146,37.4
770,770,1984,149,39.6
771,771,1984,152,37.9
772,772,1984,155,30.7
773,773,1984,158,31.7
774,774,1984,161,37.3
775,775,1984,164,46.2
776,776,1984,167,38.8
777,777,1984,170,37.6
778,778,1984,173,41.5
779,779,1984,176,29.1
780,780,1984,179,15.6
781,781,1984,182,27.1
782,782,1984,185,33.8
783,783,1984,188,32.3
784,784,1984,191,34.6
785,785,1984,194,31.3
786,786,1984,197,36.1
787,787,1984,200,37.9
788,788,1984,203,32.4
789,789,1984,206,41.9
790,790,1984,209,35.5
791,791,1984,212,40.7
792,792,1984,215,41.3
793,793,1984,218,31.8
794,794,1984,221,23.9
795,795,1984,224,33.5
796,796,1984,227,32.7
797,797,1984,230,29.9
798,798,1984,233,37.4
799,799,1984,236,33.3
800,800,1984,239,26.1
801,801,1984,242,32.2
802,802,1984,245,28.8
803,803,1984,248,22.5
804,804,1984,251,24.8
805,805,1984,254,28.3
806,806,1984,257,30.4
807,807,1984,260,17.6
808,808,1984,263,26.7
809,809,1984,266,28.1
810,810,1984,269,26.0
811,811,1984,272,30.3
812,812,1984,275,28.0
813,813,1984,278,17.8
814,814,1984,281,6.0
815,815,1984,284,6.5
816,816,1984,287,15.1
817,817,1984,290,21.1
818,818,1984,293,20.3
819,819,1984,296,18.4
820,820,1984,299,8.8
821,821,1984,302,10.7
822,822,1984,305,13.3
823,823,1984,308,6.0
824,824,1984,311,8.8
825,825,1984,314,10.3
826,826,1984,317,5.2
827,827,1984,320,8.5
828,828,1984,323,3.8
829,829,1984,326,9.5
830,830,1984,329,6.5
831,831,1984,332,4.6
832,832,1984,335,5.8
833,833,1984,338,10.9
834,834,1984,341,7.2
835,835,1984,344,5.4
836,836,1984,347,5.3
837,837,1984,350,4.1
