threeday_yrmo,threeday_yr,year,dayofyear,stdfilter_varmixing_m
722,722,1984.0,5.0,1.1
723,723,1984.0,8.0,1.1
724,724,1984.0,11.0,1.1
725,725,1984.0,14.0,1.1
726,726,1984.0,17.0,1.1
727,727,1984.0,20.0,1.1
728,728,1984.0,23.0,1.2
729,729,1984.0,26.0,1.2
730,730,1984.0,29.0,1.2
731,731,1984.0,32.0,1.1
732,732,1984.0,35.0,1.1
733,733,1984.0,38.0,1.1
734,734,1984.0,41.0,1.1
735,735,1984.0,44.0,1.1
736,736,1984.0,47.0,1.2
737,737,1984.0,50.0,1.2
738,738,1984.0,53.0,1.2
739,739,1984.0,56.0,1.2
740,740,1984.0,59.0,1.2
741,741,1984.0,62.0,1.1
742,742,1984.0,65.0,1.1
743,743,1984.0,68.0,1.1
744,744,1984.0,71.0,1.1
745,745,1984.0,74.0,1.1
746,746,1984.0,77.0,1.1
747,747,1984.0,80.0,1.2
748,748,1984.0,83.0,1.2
749,749,1984.0,86.0,1.1
750,750,1984.0,89.0,1.1
751,751,1984.0,92.0,1.1
752,752,1984.0,95.0,1.1
753,753,1984.0,98.0,1.1
754,754,1984.0,101.0,1.1
755,755,1984.0,104.0,1.2
756,756,1984.0,107.0,1.2
757,757,1984.0,110.0,1.1
758,758,1984.0,113.0,1.0
759,759,1984.0,116.0,1.0
760,760,1984.0,119.0,1.0
761,761,1984.0,122.0,1.0
762,762,1984.0,125.0,1.0
763,763,1984.0,128.0,1.1
764,764,1984.0,131.0,1.1
765,765,1984.0,134.0,1.1
766,766,1984.0,137.0,1.1
767,767,1984.0,140.0,1.1
768,768,1984.0,143.0,1.0
769,769,1984.0,146.0,0.9
770,770,1984.0,149.0,0.9
771,771,1984.0,152.0,0.9
772,772,1984.0,155.0,0.9
773,773,1984.0,158.0,1.0
774,774,1984.0,161.0,1.0
775,775,1984.0,164.0,1.0
776,776,1984.0,167.0,0.9
777,777,1984.0,170.0,0.9
778,778,1984.0,173.0,0.8
779,779,1984.0,176.0,0.8
780,780,1984.0,179.0,0.9
781,781,1984.0,182.0,0.9
782,782,1984.0,185.0,0.9
783,783,1984.0,188.0,1.0
784,784,1984.0,191.0,0.9
785,785,1984.0,194.0,0.8
786,786,1984.0,197.0,0.8
787,787,1984.0,200.0,0.8
788,788,1984.0,203.0,0.7
789,789,1984.0,206.0,0.8
790,790,1984.0,209.0,0.9
791,791,1984.0,212.0,0.9
792,792,1984.0,215.0,1.0
793,793,1984.0,218.0,1.0
794,794,1984.0,221.0,0.9
795,795,1984.0,224.0,0.8
796,796,1984.0,227.0,0.7
797,797,1984.0,230.0,0.7
798,798,1984.0,233.0,0.7
799,799,1984.0,236.0,0.8
800,800,1984.0,239.0,0.9
801,801,1984.0,242.0,0.9
802,802,1984.0,245.0,0.9
803,803,1984.0,248.0,0.9
804,804,1984.0,251.0,0.8
805,805,1984.0,254.0,0.8
806,806,1984.0,257.0,0.8
807,807,1984.0,260.0,0.8
808,808,1984.0,263.0,0.8
