year,group,obs_anom,model_anom,Pass,Season,ObsSummary
2004,ZS2-CTH,-0.7682599805267902,-0.7162173296837863,ZS,Spring,log_of_mean
2004,ZS3-CHA,-0.6160763976158671,0.5339750609145338,ZS,Spring,log_of_mean
2004,ZS4-LAR,-0.3685286359041355,-0.6947637823259211,ZS,Spring,log_of_mean
2005,Total,-0.21309323762953747,-0.2041965201679779,ZS,Spring,log_of_mean
2005,ZS2-CTH,0.46759091870314196,0.05572479292479771,ZS,Spring,log_of_mean
2005,ZS3-CHA,-0.46707229346233037,-0.25394481682504644,ZS,Spring,log_of_mean
2005,ZS4-LAR,0.2884602023078777,0.21606290723760244,ZS,Spring,log_of_mean
2006,Total,0.3042972642232281,-0.35206879576289046,ZS,Spring,log_of_mean
2006,ZS2-CTH,-1.2748206203707773,-0.6236462031614805,ZS,Spring,log_of_mean
2006,ZS3-CHA,0.5548267555972098,-0.1635070103609672,ZS,Spring,log_of_mean
2006,ZS4-LAR,0.5477985008648162,0.42785133669623016,ZS,Spring,log_of_mean
2007,Total,0.9498429831970563,1.4998645285192556,ZS,Spring,log_of_mean
2007,ZS2-CTH,0.527727554033045,0.8433782661042345,ZS,Spring,log_of_mean
2007,ZS3-CHA,1.2964944313412026,1.309210720705406,ZS,Spring,log_of_mean
2007,ZS4-LAR,0.3525539612453252,1.2992872792165957,ZS,Spring,log_of_mean
2008,Total,-0.6727538120888304,0.14564785482636367,ZS,Spring,log_of_mean
2008,ZS2-CTH,-1.2326475098311804,-0.11775904909346362,ZS,Spring,log_of_mean
2008,ZS3-CHA,-0.2975167137413923,1.193240743896937,ZS,Spring,log_of_mean
2008,ZS4-LAR,-1.4273968510709794,-1.645651891337103,ZS,Spring,log_of_mean
2009,Total,-1.52269784890586,0.701364592781334,ZS,Spring,log_of_mean
2009,ZS2-CTH,-0.1854777273281103,0.25931330304882844,ZS,Spring,log_of_mean
2009,ZS3-CHA,-1.6425835387918883,0.8448601370243709,ZS,Spring,log_of_mean
2009,ZS4-LAR,-1.5972562398253944,0.7917795484293563,ZS,Spring,log_of_mean
2012,Total,0.38643438617718706,1.5998722967340226,ZS,Spring,log_of_mean
2012,ZS2-CTH,1.2235956979196998,1.472510523483007,ZS,Spring,log_of_mean
2012,ZS3-CHA,0.2267171610228858,0.6256989226624918,ZS,Spring,log_of_mean
2012,ZS4-LAR,-0.8408627404700592,1.7220116338662623,ZS,Spring,log_of_mean
2013,Total,0.23001681586533018,-1.5139897868990773,ZS,Spring,log_of_mean
2013,ZS2-CTH,-0.653181314634236,-1.7243132703164552,ZS,Spring,log_of_mean
2013,ZS3-CHA,0.04807637496994953,-0.760566539620306,ZS,Spring,log_of_mean
2013,ZS4-LAR,1.0207474762343232,-1.2431809262223226,ZS,Spring,log_of_mean
2014,Total,-2.054161127291717,-0.6630172864256073,ZS,Spring,log_of_mean
2014,ZS2-CTH,-1.5590673498788965,-1.3798090804450818,ZS,Spring,log_of_mean
