date,group,obs_biomass,model_biomass
2015-07-08,ZF1-ICT,0.0459998574093842,0.02317899
2015-07-15,ZF1-ICT,,0.02388163
2015-07-15,ZF1-ICT,,0.02388163
2015-08-03,ZF1-ICT,,0.02449861
2015-08-03,ZF1-ICT,,0.02449861
2015-08-03,ZF1-ICT,,0.02449861
2015-08-04,ZF1-ICT,,0.02449861
2015-08-04,ZF1-ICT,,0.02449861
2015-08-04,ZF1-ICT,,0.02449861
2015-08-04,ZF1-ICT,0.0079642499997795,0.02449861
2015-08-05,ZF1-ICT,,0.02458191
2015-08-05,ZF1-ICT,,0.02458191
2015-08-05,ZF1-ICT,0.0012165888000655,0.02458191
2015-08-05,ZF1-ICT,,0.02458191
2015-08-05,ZF1-ICT,0.0013995659993663,0.02458191
2015-08-15,ZF1-ICT,0.007364028,0.0248799
2015-09-13,ZF1-ICT,,0.02575965
2015-09-13,ZF1-ICT,0.0522314939925105,0.02575965
2015-09-13,ZF1-ICT,,0.02575965
2015-09-13,ZF1-ICT,0.0560907900059988,0.02575965
2015-09-13,ZF1-ICT,0.0152850600009032,0.02575965
2015-09-13,ZF1-ICT,,0.02575965
2015-09-14,ZF1-ICT,0.0155697065990231,0.02575965
2015-09-14,ZF1-ICT,0.0197503950004297,0.02575965
2015-09-14,ZF1-ICT,,0.02575965
2015-09-14,ZF1-ICT,,0.02575965
2015-09-14,ZF1-ICT,,0.02575965
2015-09-14,ZF1-ICT,,0.02575965
2015-09-24,ZF1-ICT,,0.02637527
2015-09-24,ZF1-ICT,,0.02637527
2015-10-02,ZF1-ICT,4.724999970894e-05,0.02675357
2015-10-02,ZF1-ICT,,0.02675357
2015-10-02,ZF1-ICT,,0.02675357
2015-10-02,ZF1-ICT,,0.02675357
2015-10-02,ZF1-ICT,,0.02675357
2015-10-02,ZF1-ICT,,0.02675357
2015-10-03,ZF1-ICT,,0.02675357
2015-10-03,ZF1-ICT,,0.02675357
2015-10-03,ZF1-ICT,,0.02675357
2015-10-03,ZF1-ICT,,0.02675357
2015-10-03,ZF1-ICT,3.6783599708268e-05,0.02675357
2015-10-04,ZF1-ICT,,0.02683487
2015-10-05,ZF1-ICT,,0.02683487
2016-02-23,ZF1-ICT,0.0286323659849297,0.01965338
2016-02-23,ZF1-ICT,0.0606116703204888,0.01965338
2016-02-24,ZF1-ICT,0.0325028340855314,0.01938196
2016-02-24,ZF1-ICT,0.0169343327997917,0.01938196
2016-02-24,ZF1-ICT,0.0552705301281942,0.01938196
2016-02-24,ZF1-ICT,0.047234392629809,0.01938196
2016-02-24,ZF1-ICT,0.0332972641314592,0.01938196
2016-02-25,ZF1-ICT,0.0260469300222334,0.01938196
2016-02-25,ZF1-ICT,0.0053053056014634,0.01938196
2016-02-26,ZF1-ICT,0.0220397099938332,0.01938196
2016-03-14,ZF1-ICT,0.165929538602808,0.01792595
2016-03-14,ZF1-ICT,0.314433001598632,0.01792595
2016-03-16,ZF1-ICT,0.395708888841707,0.01772503
2016-03-16,ZF1-ICT,0.0867046949671492,0.01772503
2016-03-16,ZF1-ICT,0.0415372272716578,0.01772503
2016-03-17,ZF1-ICT,0.108727844384087,0.01772503
2016-03-17,ZF1-ICT,0.124827120712356,0.01772503
2016-03-17,ZF1-ICT,0.157969110719514,0.01772503
2016-03-18,ZF1-ICT,1.92874359609663,0.01772503
2016-03-18,ZF1-ICT,0.537437577639306,0.01772503
2016-03-20,ZF1-ICT,0.191225302736441,0.01753956
2016-03-29,ZF1-ICT,1.68714134503415,0.01705881
2016-03-29,ZF1-ICT,0.527496261767666,0.01705881
2016-03-29,ZF1-ICT,0.0304716510289971,0.01705881
2016-03-30,ZF1-ICT,0.231288329719256,0.01705881
2016-03-30,ZF1-ICT,0.306105660573177,0.01705881
2016-03-30,ZF1-ICT,0.0496306776981192,0.01705881
2016-03-31,ZF1-ICT,0.25053163810131,0.01692767
2016-03-31,ZF1-ICT,0.223176643523736,0.01692767
2016-03-31,ZF1-ICT,0.109673109065853,0.01692767
2016-03-31,ZF1-ICT,0.196219296222914,0.01692767
2016-04-23,ZF1-ICT,0.549653932806473,0.01682984
2016-04-23,ZF1-ICT,0.128163441023369,0.01682984
2016-04-23,ZF1-ICT,0.38420086313825,0.01682984
2016-04-23,ZF1-ICT,0.269697355262287,0.01682984
2016-04-24,ZF1-ICT,0.259311234035713,0.01698857
2016-04-24,ZF1-ICT,0.184059287923467,0.01698857
2016-04-24,ZF1-ICT,0.261053856102445,0.01698857
2016-04-24,ZF1-ICT,0.197480640054763,0.01698857
2016-04-24,ZF1-ICT,0.6121348128729,0.01698857
2016-04-24,ZF1-ICT,0.703840326035847,0.01698857
2016-04-25,ZF1-ICT,0.171096861573504,0.01698857
2016-04-30,ZF1-ICT,0.111653892004574,0.01739576
2016-04-30,ZF1-ICT,0.194119569022709,0.01739576
2016-04-30,ZF1-ICT,0.0322591500028732,0.01739576
2016-05-02,ZF1-ICT,0.127312163971683,0.01739576
2016-05-02,ZF1-ICT,0.150362730028371,0.01739576
