timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
78,0.004175967,0.0001545457,0.2677144,0.02704973,0.4951228,0.43516,0.07589655,0.5128962,0.4106605,0.002856564,0.021834,0.2804892,0.03374182,0.8057828,0.5212582,0.437813,1.015209,1.403533,0.2749536,0.1112942,6.949233,7.896534,1978-08-21,Summer
79,0.004169304,0.0001542869,0.2663793,0.02691284,0.4911518,0.433147,0.07536216,0.5059241,0.4043595,0.002833324,0.02135176,0.2779307,0.03408588,0.817597,0.5240542,0.4411895,1.794424,1.757556,0.3845793,0.1091871,6.922419,7.896935,1978-08-24,Summer
80,0.004161805,0.000153994,0.2650785,0.02679778,0.4903422,0.4310709,0.07526721,0.5056969,0.4027664,0.002810434,0.02101713,0.2757851,0.0367905,0.8869894,0.5601805,0.4582788,2.43944,1.818443,0.3857938,0.1057408,6.988131,8.110319,1978-08-27,Summer
81,0.004153877,0.0001536895,0.2639266,0.02671187,0.493354,0.4293986,0.07568522,0.5133796,0.4073042,0.002789447,0.02085674,0.2741289,0.04138302,1.004697,0.6327949,0.4808946,3.353189,2.025218,0.4362087,0.1042177,7.144694,8.53712,1978-08-30,Summer
82,0.00414607,0.0001534031,0.2630578,0.02666441,0.5005382,0.4285036,0.07667362,0.5289216,0.4191544,0.002772179,0.02094968,0.2732123,0.04778659,1.163983,0.7397354,0.5086765,4.013644,2.221339,0.468574,0.1054259,7.383383,9.169284,1978-09-02,Fall
83,0.004138971,0.000153165,0.2625698,0.02665833,0.5111316,0.4286292,0.07809082,0.5498807,0.4372893,0.002760062,0.02133886,0.2731969,0.05409658,1.317685,0.8593913,0.5277382,4.287286,2.141207,0.443773,0.1098358,7.656373,9.891294,1978-09-05,Fall
84,0.004132965,0.0001529916,0.2624309,0.02666996,0.5206012,0.4297208,0.07925063,0.5656196,0.4547069,0.002753019,0.02194916,0.2738841,0.05520347,1.333028,0.9140843,0.5052901,3.160183,1.665098,0.309182,0.1173754,7.802225,10.31456,1978-09-08,Fall
85,0.004127854,0.000152866,0.2623918,0.0266684,0.5252855,0.4311185,0.07964051,0.5693858,0.4637325,0.002748248,0.02253209,0.2746189,0.05001,1.19924,0.8755482,0.4476431,1.983329,1.106743,0.1851354,0.1256794,7.756557,10.24024,1978-09-11,Fall
86,0.00412317,0.0001527588,0.2622308,0.02665447,0.5276225,0.4321615,0.07966164,0.5690447,0.466029,0.002742962,0.02292118,0.2749362,0.04440364,1.078676,0.8240511,0.4031831,2.031492,1.0195,0.1927767,0.1322371,7.674406,9.99761,1978-09-14,Fall
87,0.004118611,0.0001526537,0.2619059,0.02662205,0.5269332,0.4326409,0.07922617,0.5626745,0.4615837,0.002736365,0.02313919,0.2748341,0.03796401,0.9372486,0.747651,0.3587611,1.082086,0.6334382,0.09711024,0.1356143,7.52812,9.575969,1978-09-17,Fall
88,0.004113783,0.0001525298,0.2613567,0.02657866,0.5262629,0.4325033,0.07883135,0.5585545,0.455102,0.002727457,0.02313759,0.2741849,0.03461904,0.8805768,0.7081494,0.3442283,2.169189,1.053544,0.2202348,0.1376096,7.452157,9.272488,1978-09-20,Fall
89,0.004108857,0.0001524005,0.2607744,0.02656407,0.5300736,0.4319609,0.07910873,0.5649065,0.4546471,0.0027183,0.02318817,0.2735659,0.03668667,0.9559377,0.7417119,0.3679077,3.444565,1.48893,0.3296173,0.1341913,7.547441,9.365469,1978-09-23,Fall
90,0.004104357,0.000152297,0.260387,0.02659187,0.539426,0.4318024,0.08017778,0.5827497,0.4633045,0.002711688,0.02344144,0.2734279,0.04280259,1.126529,0.8401386,0.4119738,4.593303,1.800391,0.4087816,0.1301165,7.790487,9.839686,1978-09-26,Fall
91,0.004100814,0.0001522475,0.2603208,0.02664443,0.549428,0.4323556,0.08129819,0.5992831,0.4748339,0.002709366,0.02396888,0.2739865,0.0469541,1.221944,0.907216,0.3863942,3.495592,1.559306,0.313318,0.141225,7.989786,10.23964,1978-09-29,Fall
92,0.004098309,0.0001522519,0.26048,0.0267188,0.5602696,0.4332332,0.08249922,0.6159679,0.4875437,0.002710448,0.02465373,0.2749786,0.05026973,1.29789,0.9640681,0.4149409,4.13589,1.657347,0.3552205,0.1358828,8.164348,10.61923,1978-10-02,Fall
93,0.004097046,0.0001523194,0.2608659,0.02680075,0.569392,0.4348181,0.0834277,0.6276081,0.4987419,0.002715052,0.0254219,0.276307,0.04993337,1.274156,0.9707159,0.4112144,3.131428,1.299036,0.2609057,0.1359332,8.233935,10.78074,1978-10-05,Fall
94,0.004096687,0.0001524272,0.2612529,0.02685897,0.5733771,0.4364741,0.08360754,0.6278728,0.5014269,0.002720535,0.02604743,0.2774403,0.04496089,1.141787,0.9050509,0.3783805,1.768818,0.8298807,0.1415414,0.1384463,8.140591,10.54475,1978-10-08,Fall
95,0.004096691,0.0001525434,0.2614615,0.02689734,0.5744362,0.4374088,0.08336406,0.6228348,0.4972492,0.002724529,0.02645095,0.2780937,0.03965535,1.016199,0.8277056,0.3485423,1.936289,0.8119515,0.161355,0.1383441,8.004548,10.17446,1978-10-11,Fall
96,0.004096748,0.0001526522,0.2614796,0.02691679,0.5740883,0.4375013,0.08292921,0.6159266,0.4891532,0.002726605,0.0266868,0.2783363,0.03546464,0.9232575,0.759285,0.2904027,1.596223,0.7374346,0.1423504,0.1525683,7.896171,9.798099,1978-10-14,Fall
97,0.004096602,0.000152741,0.2613166,0.0269249,0.5738784,0.4366945,0.08256184,0.6109359,0.4804659,0.00272667,0.02680989,0.2782712,0.03354167,0.8899511,0.7201332,0.2992876,2.280467,0.9093176,0.2034179,0.1406237,7.832722,9.549238,1978-10-17,Fall
