N,MB,MAE,RMSE,NRMSE,r,R2,MAPE,NSE,WSS,Group,Pass,Season,ObsSummary
17,0.013217249707914621,0.6905068661774659,0.8674070108571303,0.8674070108571303,0.6846250089657889,0.46871140290140656,171.37275971820492,0.0925276597152741,0.8002027880122902,ZS2-CTH,ZS,Spring,mean_of_logs
17,-0.01050639682801163,1.216689244368855,1.535751216877145,1.535751216877145,0.13609982761904862,0.01852316307793475,231.79389115724555,-0.488421951087624,0.4712755744289082,ZS3-CHA,ZS,Spring,mean_of_logs
17,0.1354429896860946,0.9443184576510821,1.164569050834336,1.164569050834336,0.49169915319743196,0.24176805725507167,712.1249449085267,0.11301457678774884,0.7010176484859825,ZS4-LAR,ZS,Spring,mean_of_logs
17,-0.06848168705634701,1.033114663172771,1.2335481849263432,1.2335481849263432,0.4234552282160803,0.17931433030353264,232.63451677113983,-0.15274250314358806,0.6705292381062788,Total,ZS,Spring,mean_of_logs
17,0.332846311539229,1.5558345075257645,1.9547704411975342,1.9547704411975342,-0.07540818195680028,0.0056863939060299,3237.3395675915995,-2.869286554538619,0.3164533077358851,ZS2-CTH,ZS,Summer,log_of_mean
17,0.36401415662363723,1.5385539328156153,1.8990280630669092,1.8990280630669092,-0.7161080504845382,0.5128107399687659,227.64643444455314,-3.131948636360243,0.08058004175495259,ZS3-CHA,ZS,Summer,log_of_mean
17,0.24672120470928605,1.1627624923723112,1.4717313469521092,1.4717313469521092,-0.13070444025913439,0.01708365070345363,991.5964389620234,-1.2588188039654784,0.28828536307808095,ZS4-LAR,ZS,Summer,log_of_mean
17,0.4274158233051868,1.6163206306336126,2.111385587579009,2.111385587579009,-0.5501061414347233,0.30261676684419975,1896.9443080723445,-4.274020964234589,0.08731951327407717,Total,ZS,Summer,log_of_mean
17,0.2661222010526669,1.563039622295249,1.8994926133777907,1.8994926133777907,-0.033365411765236434,0.0011132507022637778,278.91217676753286,-2.8046814459643543,0.3454345109545002,ZS2-CTH,ZS,Summer,mean_of_logs
17,0.25710913174233047,1.4795789865719693,1.806402708294838,1.806402708294838,-0.5730338096775215,0.32836774703353394,345.05541175688836,-2.7102684325726956,0.10142369479729973,ZS3-CHA,ZS,Summer,mean_of_logs
17,0.07175274263599796,1.134167943878973,1.3296049242844263,1.3296049242844263,0.016763868411611954,0.0002810272841218411,203.94959685301947,-0.9868329526900641,0.4100274110406018,ZS4-LAR,ZS,Summer,mean_of_logs
17,0.3349109672289863,1.5918092886564228,1.9776025532656827,1.9776025532656827,-0.38974889528912304,0.1519042013790918,379.3833544717147,-3.839143950679899,0.10259425212368645,Total,ZS,Summer,mean_of_logs
16,0.061098810872207754,1.0168342982354601,1.2424429032494892,1.2424429032494892,0.2688960467292522,0.07230508394662019,215.18456889956275,-0.6447213828860625,0.5599215540353866,ZS2-CTH,ZS,Fall,log_of_mean
16,0.6389369570110366,1.8429868917149934,2.7636256919035747,2.7636256919035747,-0.7775513515961855,0.6045861043690549,743.499025414101,-1.9556605611815052,0.053927179341272335,ZS3-CHA,ZS,Fall,log_of_mean
14,-0.1307193895227858,1.0078991657965946,1.2659544262209261,1.2659544262209261,0.15531922197802853,0.0241240607158601,238.725098109903,-0.8570584975530047,0.4918576686559274,ZS4-LAR,ZS,Fall,log_of_mean
16,0.5991204044944007,1.8890996109869946,2.650322309882194,2.650322309882194,-0.8103259307455967,0.6566281140387176,272.93919519248755,-2.5506808630197804,0.024973005161867956,Total,ZS,Fall,log_of_mean
16,0.002097822369870002,1.0566696648157106,1.2677157679824687,1.2677157679824687,0.2643065795924459,0.06985796801585795,204.81553119402517,-0.5764530033508919,0.5498819063957461,ZS2-CTH,ZS,Fall,mean_of_logs
16,0.4787710504684374,1.6755877620195236,2.4643115530376276,2.4643115530376276,-0.7238158097138376,0.5239093263916984,214.64627770687866,-2.274744980124268,0.10144371748016767,ZS3-CHA,ZS,Fall,mean_of_logs
14,-0.08724164010705016,0.9615700426545006,1.187778548957057,1.187778548957057,0.2530563499264513,0.06403751623809857,205.77229288710333,-0.6336850518732169,0.5316754646968407,ZS4-LAR,ZS,Fall,mean_of_logs
16,0.4996465781632507,1.8252072574951983,2.470534824945958,2.470534824945958,-0.7568263285884854,0.572786091644726,278.2840732702209,-2.757039727474829,0.03530699692635808,Total,ZS,Fall,mean_of_logs
