timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,season
2096,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-06-16,Summer
2097,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-06-19,Summer
2098,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-06-22,Summer
2099,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-06-25,Summer
2100,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-06-28,Summer
2101,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-07-01,Summer
2102,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-07-04,Summer
2103,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-07-07,Summer
2104,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-07-10,Summer
2105,0.008057682,0.0003026242,0.4208598,0.04370084,0.8817539,0.7135966,0.1153606,0.9429955,0.6434368,0.004861233,0.04254097,0.3457851,0.04661127,1.492069,1.268769,0.3595843,3.547304,1.547489,0.2862206,0.248523,4.901305,12.90779,1995-07-13,Summer
