Title,YEAR,TIMESTEP,CHIN_H_MT_KM2,COHO_H_MT_KM2,CHUM_H_MT_KM2,SOCKEYE_H_MT_KM2,PINK_H_MT_KM2,CHIN_H_N,COHO_H_N,CHUM_H_N,SOCKEYE_H_N,PINK_H_N
Weight,1,1,1,1,1,1,1,1,1,1,1,1
Type,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Timestep,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval,Interval
152,1962.0,153.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
153,1962.0,154.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
154,1962.0,155.0,0.0,0.0,1.5e-05,0.0,1.0833333333333335e-05,0.0,0.0,4538600.0,4006000.0,4647200.0
155,1963.0,156.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
156,1963.0,157.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
157,1963.0,158.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
158,1963.0,159.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
159,1963.0,160.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
160,1963.0,161.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
161,1963.0,162.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
162,1963.0,163.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
163,1963.0,164.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
164,1963.0,165.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
165,1963.0,166.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
166,1963.0,167.0,0.0,0.0,2.0833333333333333e-05,0.0,0.0,0.0,0.0,6840000.0,2297000.0,0.0
167,1964.0,168.0,0.0,0.0,6.416666666666668e-05,2.5e-06,1.0833333333333335e-05,0.0,0.0,21029700.0,3026000.0,4535725.0
